TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-10 07:28:37,1768030117398,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,mxwvx-1768030117398-62c3f192606c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,5,iad1,392,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX7CKAHXT1TPWTK6HRGB6,dsZcUpWnoM3R,2
2026-01-10 07:28:37,1768030117178,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,mxwvx-1768030117178-1bde253f0f0a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,10,iad1,359,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX7CKAHXT1TPWTFBXH0ZT,2pmtmJiTfjWC,1
2026-01-10 07:28:37,1768030117178,www.mone.hair/api/holidays,GET,year=2026&month=1,200,bnltp-1768030117178-62a276fd4486,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/holidays,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,2132,iad1,393,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX7CKAHXT1TPWTK6HRGB6,dsZcUpWnoM3R,2
2026-01-10 07:28:36,1768030116958,www.mone.hair/admin/login,GET,error=CredentialsSignin,304,h9cpk-1768030116958-d29151c6052c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,HIT,middleware,/_middleware,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,8,hnd1,257,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX732Q08VW9CECCQQW31C,byvZwv0ohbx4,1
2026-01-10 07:28:36,1768030116958,www.mone.hair/admin/login,GET,error=CredentialsSignin,304,h9cpk-1768030116958-d29151c6052c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,HIT,static,/admin/login,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,28,hnd1,,,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:28:36,1768030116678,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,h9cpk-1768030116678-a6d76be06457,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,8,iad1,359,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX6WPT8V3KESZ7WZDTE9H,2pmtmJiTfjWC,1
2026-01-10 07:28:36,1768030116536,www.mone.hair/api/auth/callback/credentials,POST,nxtPnextauth=callback%2Fcredentials,200,h9cpk-1768030116218-ba9f4d229e4c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",error,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,www.mone.hair,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,,,,,[31m[auth][error][0m CredentialsSignin: Read more at https://errors.authjs.dev#credentialssignin,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:28:36,1768030116537,www.mone.hair/api/auth/callback/credentials,POST,nxtPnextauth=callback%2Fcredentials,200,h9cpk-1768030116218-ba9f4d229e4c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",error,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,www.mone.hair,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,,,,,"at rY (/var/task/web/.next/server/chunks/web_2fa16c9a._.js:404:41595)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async r6 (/var/task/web/.next/server/chunks/web_2fa16c9a._.js:404:51219)
    at async r7 (/var/task/web/.next/server/chunks/web_2fa16c9a._.js:404:55786)
    at async rM.do (/var/task/web/node_modules/next/dist/compiled/next-server/app-route-turbo.runtime.prod.js:5:20152)
    at async rM.handle (/var/task/web/node_modules/next/dist/compiled/next-server/app-route-turbo.runtime.prod.js:5:24898)
    at async p (/var/task/web/.next/server/chunks/[root-of-the-server]__ddb37065._.js:1:5856)
    at async rM.handleResponse (/var/task/web/node_modules/next/dist/compiled/next-server/app-route-turbo.runtime.prod.js:1:101142)
    at async d (/var/task/web/.next/server/chunks/[root-of-the-server]__ddb37065._.js:1:6894)
    at async j (/var/task/web/.next/server/chunks/[root-of-the-server]__ddb37065._.js:1:7972)",prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:28:36,1768030116218,www.mone.hair/api/auth/callback/credentials,POST,nxtPnextauth=callback%2Fcredentials,200,h9cpk-1768030116218-ba9f4d229e4c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,www.mone.hair,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,229,iad1,359,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX6EC82905WW3NG1VMNQ9,2pmtmJiTfjWC,1
2026-01-10 07:28:35,1768030115966,www.mone.hair/api/auth/csrf,GET,nxtPnextauth=csrf,200,h9cpk-1768030115966-4803559447e9,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,9,iad1,359,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX66WB8QMR7V5JFTXFFDT,2pmtmJiTfjWC,1
